full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
ComposioHQ/awesome-claude-skills,43559,43559,4380,79,79,9,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,761,761,124,1,1,0,https://github.com/revfactory/claude-code-mastering
Alishahryar1/free-claude-code,922,922,111,2,2,0,https://github.com/Alishahryar1/free-claude-code
cixingguangming55555/wechat-bot,2534,2534,664,0,0,-1,https://github.com/cixingguangming55555/wechat-bot
anthropics/claude-agent-sdk-demos,1683,1683,262,2,2,1,https://github.com/anthropics/claude-agent-sdk-demos
ericbuess/claude-code-docs,729,729,105,0,0,0,https://github.com/ericbuess/claude-code-docs
Yeachan-Heo/oh-my-claudecode,9551,9551,671,50,50,0,https://github.com/Yeachan-Heo/oh-my-claudecode
numman-ali/openskills,8991,8991,572,5,5,0,https://github.com/numman-ali/openskills
alirezarezvani/claude-skills,4699,4699,519,77,77,7,https://github.com/alirezarezvani/claude-skills
code-yeongyu/oh-my-openagent,39584,39584,2992,82,82,5,https://github.com/code-yeongyu/oh-my-openagent
severity1/claude-code-prompt-improver,1246,1246,107,2,2,0,https://github.com/severity1/claude-code-prompt-improver
anthropics/claude-agent-sdk-python,5385,5385,713,11,11,-1,https://github.com/anthropics/claude-agent-sdk-python
MadAppGang/claude-code,244,244,25,1,1,0,https://github.com/MadAppGang/claude-code
daymade/claude-code-skills,646,646,97,2,2,0,https://github.com/daymade/claude-code-skills
ccplugins/awesome-claude-code-plugins,620,620,130,0,0,1,https://github.com/ccplugins/awesome-claude-code-plugins
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1916,1916,61,0,0,0,https://github.com/greggh/claude-code.nvim
anomalyco/opencode,121219,121219,12551,178,178,21,https://github.com/anomalyco/opencode
PleasePrompto/notebooklm-skill,4409,4409,434,8,8,0,https://github.com/PleasePrompto/notebooklm-skill
kn1026/cc,704,704,270,0,0,0,https://github.com/kn1026/cc
rohitg00/awesome-claude-code-toolkit,694,694,119,5,5,1,https://github.com/rohitg00/awesome-claude-code-toolkit
BloopAI/vibe-kanban,23084,23084,2254,14,14,1,https://github.com/BloopAI/vibe-kanban
gsd-build/get-shit-done,29010,29010,2443,161,161,14,https://github.com/gsd-build/get-shit-done
kepano/obsidian-skills,13571,13571,741,26,26,1,https://github.com/kepano/obsidian-skills
manzaltu/claude-code-ide.el,1399,1399,84,1,1,0,https://github.com/manzaltu/claude-code-ide.el
